Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
GL,chassis,NA,327,386,327,7,,,,,,,,,
GL,chatterbox,NA,439,516,439,10,,,,,,,,,
BN,cheap,5.60,322,311,631,5,,,,,,,,,
GL,cheek,NA,533,561,533,5,,,,,,,,,
BN,cheer,5.40,305,365,520,5,,,,,,,,,
GL,cheese,NA,588,592,588,6,,,,,,,,,
BN,cheque,7.90,463,559,565,6,,,,,,,,,
GL,cherry,NA,514,582,514,6,,,,,,,,,
BN,chess,6.90,407,590,438,5,,,,,,,,,
BN,chest,5.60,302,551,509,5,,,,,,,,,
BN,chew,4.30,230,429,543,4,,,,,,,,,
GL,chicken,NA,544,619,544,7,,,,,,,,,
GL,childhood,NA,515,489,515,9,,,,,,,,,
BN,chin,4.60,237,585,513,4,,,,,,,,,
GL,chink,NA,393,429,393,5,,,,,,,,,
BN,chip,4.60,247,595,567,4,,,,,,,,,
GL,chlorine,NA,433,480,433,8,,,,,,,,,
BN,choose,5.50,313,239,624,6,,,,,,,,,
GL,chop,NA,487,575,487,4,,,,,,,,,
BN,choral,9.00,537,343,412,6,,,,,,,,,
GL,chow,NA,298,326,298,4,,,,,,,,,
GL,chrome,NA,385,491,385,6,,,,,,,,,
GL,chronology,NA,302,291,302,10,,,,,,,,,
BN,chubby,5.50,315,530,513,6,,,,,,,,,
GL,church,NA,560,616,560,6,,,,,,,,,
GL,cider,NA,507,626,507,5,,,,,,,,,
BN,cigar,7.40,439,644,447,5,,,,,,,,,
GL,circle,NA,581,591,581,6,,,,,,,,,
GL,circuit,NA,442,472,442,7,,,,,,,,,
GL,circumstance,NA,511,210,511,12,,,,,,,,,
BN,circus,5.10,261,595,418,6,,,,,,,,,
GL,civilization,NA,491,437,491,12,,,,,,,,,
GL,claim,NA,525,321,525,5,,,,,,,,,
GL,clamour,NA,351,362,351,7,,,,,,,,,
BN,clan,9.10,564,335,408,4,,,,,,,,,
GL,clash,NA,488,456,488,5,,,,,,,,,
GL,clasp,NA,441,456,441,5,,,,,,,,,
BN,clause,11.10,700,260,419,6,,,,,,,,,
GL,clay,NA,455,575,455,4,,,,,,,,,
GL,clearance,NA,418,319,418,9,,,,,,,,,
GL,cleaver,NA,357,478,357,7,,,,,,,,,
BN,clement,9.90,607,178,338,7,,,,,,,,,
BN,clergy,9.50,597,490,397,6,,,,,,,,,
GL,clever,NA,515,378,515,6,,,,,,,,,
BN,click,5.80,320,320,576,5,,,,,,,,,
BN,client,8.70,546,405,485,6,,,,,,,,,
GL,cliff,NA,479,599,479,5,,,,,,,,,
BN,climate,7.60,453,382,486,7,,,,,,,,,
BN,climax,9.10,551,360,466,6,,,,,,,,,
BN,climb,4.80,240,485,540,5,,,,,,,,,
BN,cling,6.50,380,421,486,5,,,,,,,,,
GL,clink,NA,382,472,382,5,,,,,,,,,
BN,cloak,5.50,315,543,433,5,,,,,,,,,
BN,clobber,8.10,492,282,412,7,,,,,,,,,
BN,clock,4.10,210,640,636,5,,,,,,,,,
GL,close,NA,587,420,587,5,,,,,,,,,
BN,closure,9.00,553,269,453,7,,,,,,,,,
BN,cloth,4.90,255,487,529,5,,,,,,,,,
GL,clothes,NA,652,629,652,7,,,,,,,,,
BN,cloud,4.30,223,624,558,5,,,,,,,,,
GL,clove,NA,395,446,395,5,,,,,,,,,
BN,clue,5.80,322,339,520,4,,,,,,,,,
BN,clumsy,5.90,338,402,510,6,,,,,,,,,
BN,clung,7.10,418,270,447,5,,,,,,,,,
BN,cluster,8.00,480,430,463,7,,,,,,,,,
BN,clutch,8.40,510,415,486,6,,,,,,,,,
BN,clutter,7.00,414,487,501,7,,,,,,,,,
BN,coach,5.60,300,624,513,5,,,,,,,,,
GL,coach,NA,509,560,509,5,,,,,,,,,
GL,coal,NA,513,581,513,4,,,,,,,,,
BN,coarse,8.80,531,302,443,6,,,,,,,,,
BN,coaster,7.30,439,465,449,7,,,,,,,,,
GL,coat,NA,610,572,610,4,,,,,,,,,
BN,cock,7.70,389,611,484,4,,,,,,,,,
GL,cock,NA,434,586,434,4,,,,,,,,,
BN,cockney,9.90,626,325,438,7,,,,,,,,,
BN,cocoa,6.00,341,563,476,5,,,,,,,,,
BN,code,6.30,359,299,510,4,,,,,,,,,
BN,coerce,11.50,700,145,389,6,,,,,,,,,
GL,coffee,NA,625,618,625,6,,,,,,,,,
GL,coffer,NA,279,302,279,6,,,,,,,,,
GL,coif,NA,157,202,157,4,,,,,,,,,
BN,coin,4.60,241,626,588,4,,,,,,,,,
BN,cola,5.30,307,608,542,4,,,,,,,,,
GL,cold,NA,626,531,626,4,,,,,,,,,
BN,collect,5.80,322,279,570,7,,,,,,,,,
GL,collection,NA,538,419,538,10,,,,,,,,,
GL,collegiate,NA,217,216,217,10,,,,,,,,,
GL,cologne,NA,407,586,407,7,,,,,,,,,
BN,colonel,8.90,544,433,398,7,,,,,,,,,
BN,colour,3.60,183,552,650,6,,,,,,,,,
GL,colouration,NA,310,435,310,11,,,,,,,,,
GL,column,NA,519,491,519,6,,,,,,,,,
BN,combat,7.70,460,464,463,6,,,,,,,,,
GL,combination,NA,493,326,493,11,,,,,,,,,
GL,comestible,NA,152,183,152,10,,,,,,,,,
BN,comet,8.00,492,525,426,5,,,,,,,,,
BN,comma,7.10,429,555,516,5,,,,,,,,,
BN,command,7.10,413,300,488,7,,,,,,,,,
GL,commander,NA,409,478,409,9,,,,,,,,,
GL,commencement,NA,407,291,407,12,,,,,,,,,
BN,comment,7.70,480,245,557,7,,,,,,,,,
GL,commercial,NA,536,460,536,10,,,,,,,,,
GL,committee,NA,532,481,532,9,,,,,,,,,
GL,communication,NA,527,391,527,13,,,,,,,,,
GL,community,NA,499,416,499,9,,,,,,,,,
GL,company,NA,573,426,573,7,,,,,,,,,
BN,compare,7.10,401,166,594,7,,,,,,,,,
BN,compass,7.20,422,600,445,7,,,,,,,,,
GL,compatriot,NA,331,405,331,10,,,,,,,,,
BN,compete,6.50,380,299,511,7,,,,,,,,,
GL,competition,NA,544,443,544,11,,,,,,,,,
BN,complex,9.10,553,263,543,7,,,,,,,,,
GL,complication,NA,480,289,480,12,,,,,,,,,
GL,compliment,NA,511,406,511,10,,,,,,,,,
GL,composer,NA,448,467,448,8,,,,,,,,,
GL,compression,NA,360,375,360,11,,,,,,,,,
GL,comrade,NA,397,515,397,7,,,,,,,,,
BN,conceal,8.40,477,274,460,7,,,,,,,,,
BN,concept,9.30,570,197,536,7,,,,,,,,,
GL,concern,NA,519,353,519,7,,,,,,,,,
GL,concert,NA,520,578,520,7,,,,,,,,,
GL,conclusion,NA,577,345,577,10,,,,,,,,,
BN,concoct,9.40,573,266,421,7,,,,,,,,,
GL,concurrence,NA,314,256,314,11,,,,,,,,,
GL,condition,NA,571,297,571,9,,,,,,,,,
GL,cone,NA,506,559,506,4,,,,,,,,,
BN,confer,9.70,614,226,425,6,,,,,,,,,
GL,conference,NA,498,465,498,10,,,,,,,,,
BN,confess,7.10,433,291,472,7,,,,,,,,,
BN,confide,9.20,567,238,511,7,,,,,,,,,
GL,confidence,NA,566,371,566,10,,,,,,,,,
GL,conflict,NA,494,432,494,8,,,,,,,,,
BN,conform,9.60,581,172,471,7,,,,,,,,,
BN,confuse,6.60,380,262,580,7,,,,,,,,,
GL,confusion,NA,554,437,554,9,,,,,,,,,
GL,congress,NA,389,356,389,8,,,,,,,,,
GL,conjugation,NA,340,272,340,11,,,,,,,,,
BN,conquer,7.20,420,364,405,7,,,,,,,,,
GL,conscience,NA,536,386,536,10,,,,,,,,,
BN,consent,8.50,527,226,501,7,,,,,,,,,
GL,consequence,NA,502,299,502,11,,,,,,,,,
GL,conservation,NA,476,391,476,12,,,,,,,,,
GL,consideration,NA,500,318,500,13,,,,,,,,,
GL,consolation,NA,457,335,457,11,,,,,,,,,
GL,conspirator,NA,364,386,364,11,,,,,,,,,
GL,constitution,NA,466,395,466,12,,,,,,,,,
GL,construction,NA,466,410,466,12,,,,,,,,,
GL,consummation,NA,335,324,335,12,,,,,,,,,
BN,contain,6.40,378,250,560,7,,,,,,,,,
GL,contamination,NA,388,456,388,13,,,,,,,,,
BN,contend,9.50,570,201,445,7,,,,,,,,,
GL,content,NA,553,391,553,7,,,,,,,,,
BN,contest,6.90,426,278,497,7,,,,,,,,,
BN,context,9.40,570,213,506,7,,,,,,,,,
GL,continent,NA,459,478,459,9,,,,,,,,,
GL,continuation,NA,470,321,470,12,,,,,,,,,
GL,contraction,NA,454,397,454,11,,,,,,,,,
GL,control,NA,559,347,559,7,,,,,,,,,
BN,convene,10.90,661,205,402,7,,,,,,,,,
BN,convent,8.50,532,465,434,7,,,,,,,,,
BN,convert,8.90,546,245,508,7,,,,,,,,,
GL,conveyance,NA,384,397,384,10,,,,,,,,,
BN,convict,8.70,526,384,427,7,,,,,,,,,
GL,convocation,NA,175,151,175,11,,,,,,,,,
BN,convoy,9.20,564,396,422,6,,,,,,,,,
BN,cook,4.50,237,529,614,4,,,,,,,,,
GL,coolness,NA,451,462,451,8,,,,,,,,,
GL,copper,NA,491,548,491,6,,,,,,,,,
BN,copy,5.30,295,388,575,4,,,,,,,,,
GL,coral,NA,425,561,425,5,,,,,,,,,
BN,cord,6.50,384,455,443,4,,,,,,,,,
GL,core,NA,459,497,459,4,,,,,,,,,
BN,cork,6.50,386,619,458,4,,,,,,,,,
GL,corkscrew,NA,445,580,445,9,,,,,,,,,
BN,corn,5.30,299,580,469,4,,,,,,,,,
GL,cornice,NA,252,302,252,7,,,,,,,,,
GL,corporation,NA,427,337,427,11,,,,,,,,,
BN,corpse,8.30,498,534,464,6,,,,,,,,,
GL,correspondent,NA,484,424,484,13,,,,,,,,,
GL,corridor,NA,579,553,579,8,,,,,,,,,
BN,corrupt,8.90,533,220,482,7,,,,,,,,,
GL,corse,NA,220,183,220,5,,,,,,,,,
BN,cortex,12.20,700,293,460,6,,,,,,,,,
GL,costume,NA,456,538,456,7,,,,,,,,,
GL,cotton,NA,521,562,521,6,,,,,,,,,
BN,couch,5.50,310,511,525,5,,,,,,,,,
BN,cough,4.70,252,497,584,5,,,,,,,,,
GL,council,NA,508,405,508,7,,,,,,,,,
BN,count,4.20,220,390,558,5,,,,,,,,,
BN,counter,5.30,305,465,479,7,,,,,,,,,
GL,counterpane,NA,327,418,327,11,,,,,,,,,
GL,country,NA,592,539,592,7,,,,,,,,,
BN,county,7.40,433,317,483,6,,,,,,,,,
BN,coup,11.80,700,195,385,4,,,,,,,,,
GL,courage,NA,511,440,511,7,,,,,,,,,
GL,cousin,NA,515,478,515,6,,,,,,,,,
GL,cover,NA,597,443,597,5,,,,,,,,,
BN,coward,6.80,401,251,471,6,,,,,,,,,
GL,cowl,NA,240,337,240,4,,,,,,,,,
GL,crab,NA,433,589,433,4,,,,,,,,,
BN,craft,6.60,360,413,468,5,,,,,,,,,
GL,craft,NA,487,429,487,5,,,,,,,,,
GL,crane,NA,428,562,428,5,,,,,,,,,
BN,crap,9.00,553,335,638,4,,,,,,,,,
BN,crash,4.90,268,534,513,5,,,,,,,,,
BN,crater,8.20,502,555,404,6,,,,,,,,,
GL,craven,NA,288,262,288,6,,,,,,,,,
BN,crawl,4.30,234,475,520,5,,,,,,,,,
BN,crazy,5.90,339,416,595,5,,,,,,,,,
GL,creature,NA,508,492,508,8,,,,,,,,,
BN,credit,9.00,547,311,576,6,,,,,,,,,
BN,creek,7.50,428,378,423,5,,,,,,,,,
BN,creep,6.80,394,354,475,5,,,,,,,,,
GL,creeper,NA,390,526,390,7,,,,,,,,,
BN,crept,5.90,324,281,483,5,,,,,,,,,
BN,crest,8.10,491,311,412,5,,,,,,,,,
BN,crevice,9.70,605,400,445,7,,,,,,,,,
GL,crew,NA,442,486,442,4,,,,,,,,,
BN,cricket,5.90,337,603,486,7,,,,,,,,,
GL,crime,NA,537,471,537,5,,,,,,,,,
BN,crisis,8.40,523,279,499,6,,,,,,,,,
BN,crisp,4.30,227,535,591,5,,,,,,,,,
BN,critic,10.00,602,226,485,6,,,,,,,,,
GL,criticism,NA,518,333,518,9,,,,,,,,,
GL,crock,NA,356,351,356,5,,,,,,,,,
GL,crook,NA,467,526,467,5,,,,,,,,,
BN,crop,5.90,314,474,452,4,,,,,,,,,
BN,cross,5.20,279,567,577,5,,,,,,,,,
GL,crow,NA,490,578,490,4,,,,,,,,,
BN,crowd,5.70,334,575,583,5,,,,,,,,,
BN,crown,4.80,245,645,447,5,,,,,,,,,
GL,crucifix,NA,416,576,416,8,,,,,,,,,
BN,crude,9.30,570,246,483,5,,,,,,,,,
BN,cruel,5.60,327,300,525,5,,,,,,,,,
BN,cruise,7.10,426,516,442,6,,,,,,,,,
BN,crumble,5.60,310,475,495,7,,,,,,,,,
BN,crunchy,5.00,283,404,546,7,,,,,,,,,
GL,crush,NA,480,480,480,5,,,,,,,,,
BN,crust,5.10,298,540,520,5,,,,,,,,,
GL,crypt,NA,320,553,320,5,,,,,,,,,
BN,crystal,6.20,353,566,454,7,,,,,,,,,
GL,cube,NA,502,575,502,4,,,,,,,,,
BN,cubic,8.80,546,287,430,5,,,,,,,,,
GL,cue,NA,420,448,420,3,,,,,,,,,
GL,cult,NA,437,386,437,4,,,,,,,,,
BN,culture,7.60,463,287,541,7,,,,,,,,,
GL,cunning,NA,417,380,417,7,,,,,,,,,
BN,curb,6.50,384,441,488,4,,,,,,,,,
BN,cure,6.80,363,346,496,4,,,,,,,,,
GL,cure,NA,526,397,526,4,,,,,,,,,
GL,curiosity,NA,515,394,515,9,,,,,,,,,
BN,curious,6.90,394,254,513,7,,,,,,,,,
BN,current,7.70,466,330,578,7,,,,,,,,,
BN,curry,6.70,361,587,564,5,,,,,,,,,
GL,curse,NA,484,415,484,5,,,,,,,,,
GL,curve,NA,521,520,521,5,,,,,,,,,
BN,cushion,5.00,268,613,572,7,,,,,,,,,
BN,custom,8.30,484,166,506,6,,,,,,,,,
GL,customer,NA,549,488,549,8,,,,,,,,,
BN,cutter,6.00,353,367,402,6,,,,,,,,,
GL,cuttle,NA,184,213,184,6,,,,,,,,,
GL,cynic,NA,465,377,465,5,,,,,,,,,
GL,cyst,NA,335,510,335,4,,,,,,,,,
GL,dad,NA,646,626,646,3,,,,,,,,,
GL,dairy,NA,467,537,467,5,,,,,,,,,
BN,daisy,4.60,236,640,440,5,,,,,,,,,
GL,damage,NA,558,443,558,6,,,,,,,,,
BN,dame,8.50,539,410,408,4,,,,,,,,,
BN,damp,5.90,322,461,531,4,,,,,,,,,
GL,damsel,NA,292,551,292,6,,,,,,,,,
BN,dandy,9.60,610,275,421,5,,,,,,,,,
GL,danger,NA,557,505,557,6,,,,,,,,,
BN,dangle,6.90,406,429,462,6,,,,,,,,,
BN,dapper,10.90,666,274,370,6,,,,,,,,,
BN,dare,5.40,299,246,514,4,,,,,,,,,
GL,darkness,NA,578,622,578,8,,,,,,,,,
BN,darling,5.00,283,270,575,7,,,,,,,,,
GL,dart,NA,496,597,496,4,,,,,,,,,
BN,data,8.90,553,375,564,4,,,,,,,,,
GL,date,NA,613,501,613,4,,,,,,,,,
GL,dawn,NA,507,586,507,4,,,,,,,,,
GL,daylight,NA,547,575,547,8,,,,,,,,,
BN,deaf,5.60,310,323,496,4,,,,,,,,,
GL,deal,NA,522,383,522,4,,,,,,,,,
BN,dealt,7.80,463,154,514,5,,,,,,,,,
BN,dean,10.90,671,325,402,4,,,,,,,,,
GL,debate,NA,459,397,459,6,,,,,,,,,
BN,debt,8.70,523,283,569,4,,,,,,,,,
GL,debut,NA,351,316,351,5,,,,,,,,,
BN,decay,7.70,459,445,465,5,,,,,,,,,
GL,deceit,NA,440,338,440,6,,,,,,,,,
BN,decent,8.20,498,246,520,6,,,,,,,,,
GL,decision,NA,601,340,601,8,,,,,,,,,
GL,deck,NA,507,539,507,4,,,,,,,,,
GL,decomposition,NA,417,448,417,13,,,,,,,,,
GL,decree,NA,376,341,376,6,,,,,,,,,
BN,deed,8.10,495,240,451,4,,,,,,,,,
GL,deer,NA,509,624,509,4,,,,,,,,,
GL,defence,NA,479,413,479,7,,,,,,,,,
GL,defiance,NA,432,383,432,8,,,,,,,,,
GL,definition,NA,519,224,519,10,,,,,,,,,
GL,degree,NA,574,521,574,6,,,,,,,,,
GL,deity,NA,304,299,304,5,,,,,,,,,
GL,delegation,NA,412,356,412,10,,,,,,,,,
BN,delight,6.30,347,429,502,7,,,,,,,,,
GL,delight,NA,510,459,510,7,,,,,,,,,
GL,dell,NA,244,397,244,4,,,,,,,,,
GL,delta,NA,359,499,359,5,,,,,,,,,
BN,delude,10.20,638,200,427,6,,,,,,,,,
BN,deluge,11.40,700,340,365,6,,,,,,,,,
GL,demeanour,NA,302,235,302,9,,,,,,,,,
BN,demon,7.20,426,533,454,5,,,,,,,,,
GL,demonstration,NA,537,486,537,13,,,,,,,,,
GL,denial,NA,407,364,407,6,,,,,,,,,
BN,dense,8.40,500,279,492,5,,,,,,,,,
GL,dent,NA,480,486,480,4,,,,,,,,,
BN,dentist,5.20,283,635,480,7,,,,,,,,,
GL,department,NA,596,426,596,10,,,,,,,,,
GL,deposit,NA,532,413,532,7,,,,,,,,,
GL,depression,NA,541,453,541,10,,,,,,,,,
GL,deputy,NA,462,435,462,6,,,,,,,,,
GL,derivation,NA,434,267,434,10,,,,,,,,,
BN,descent,8.20,507,287,445,7,,,,,,,,,
GL,description,NA,556,326,556,11,,,,,,,,,
BN,desert,5.40,305,615,514,6,,,,,,,,,
BN,deserve,6.40,373,209,562,7,,,,,,,,,
GL,design,NA,538,407,538,6,,,,,,,,,
BN,desk,4.80,264,614,590,4,,,,,,,,,
GL,despair,NA,484,388,484,7,,,,,,,,,
GL,desperation,NA,477,389,477,11,,,,,,,,,
BN,despise,8.00,467,300,478,7,,,,,,,,,
GL,despot,NA,313,297,313,6,,,,,,,,,
BN,destroy,6.10,338,360,517,7,,,,,,,,,
GL,destruction,NA,488,505,488,11,,,,,,,,,
BN,detail,6.70,399,228,550,6,,,,,,,,,
GL,detective,NA,509,524,509,9,,,,,,,,,
GL,detestation,NA,240,318,240,11,,,,,,,,,
GL,development,NA,536,356,536,11,,,,,,,,,
BN,deviant,9.60,583,254,439,7,,,,,,,,,
GL,device,NA,500,391,500,6,,,,,,,,,
BN,devise,9.10,560,160,471,6,,,,,,,,,
GL,dew,NA,427,559,427,3,,,,,,,,,
GL,dexterity,NA,332,316,332,9,,,,,,,,,
GL,diadem,NA,232,281,232,6,,,,,,,,,
GL,diamond,NA,512,623,512,7,,,,,,,,,
GL,dictation,NA,432,432,432,9,,,,,,,,,
GL,diet,NA,556,486,556,4,,,,,,,,,
GL,difference,NA,592,293,592,10,,,,,,,,,
GL,diffusion,NA,437,376,437,9,,,,,,,,,
BN,digit,7.50,452,457,469,5,,,,,,,,,
GL,dignity,NA,454,413,454,7,,,,,,,,,
GL,dimension,NA,483,355,483,9,,,,,,,,,
GL,diner,NA,442,497,442,5,,,,,,,,,
BN,dinner,3.70,181,590,694,6,,,,,,,,,
GL,dip,NA,466,456,466,3,,,,,,,,,
BN,direct,7.10,407,160,541,6,,,,,,,,,
GL,direction,NA,562,399,562,9,,,,,,,,,
GL,dirge,NA,282,262,282,5,,,,,,,,,
BN,dirt,4.30,220,475,562,4,,,,,,,,,
GL,disagreement,NA,489,362,489,12,,,,,,,,,
BN,disband,11.50,688,181,395,7,,,,,,,,,
GL,disc,NA,466,575,466,4,,,,,,,,,
GL,discharge,NA,414,426,414,9,,,,,,,,,
BN,disco,6.30,361,579,517,5,,,,,,,,,
GL,discolouration,NA,356,370,356,14,,,,,,,,,
GL,discord,NA,381,343,381,7,,,,,,,,,
GL,discovery,NA,513,401,513,9,,,,,,,,,
GL,discussion,NA,541,381,541,10,,,,,,,,,
BN,disease,6.20,353,436,499,7,,,,,,,,,
GL,disgrace,NA,488,386,488,8,,,,,,,,,
BN,dish,4.40,221,594,594,4,,,,,,,,,
GL,dishonesty,NA,475,362,475,10,,,,,,,,,
GL,disinfectant,NA,499,529,499,12,,,,,,,,,
GL,dislocation,NA,399,418,399,11,,,,,,,,,
BN,dismiss,7.60,467,205,506,7,,,,,,,,,
GL,dismissal,NA,447,362,447,9,,,,,,,,,
GL,disparagement,NA,242,194,242,13,,,,,,,,,
GL,display,NA,567,453,567,7,,,,,,,,,
BN,dispose,8.00,492,269,493,7,,,,,,,,,
GL,dispute,NA,520,421,520,7,,,,,,,,,
GL,disquiet,NA,304,305,304,8,,,,,,,,,
GL,dissection,NA,431,562,431,10,,,,,,,,,
BN,dissent,11.30,671,191,404,7,,,,,,,,,
GL,distance,NA,594,432,594,8,,,,,,,,,
BN,distant,6.90,407,355,506,7,,,,,,,,,
GL,distinction,NA,492,314,492,11,,,,,,,,,
GL,distress,NA,494,443,494,8,,,,,,,,,
GL,ditch,NA,511,558,511,5,,,,,,,,,
GL,dive,NA,508,586,508,4,,,,,,,,,
BN,diverse,9.40,567,217,513,7,,,,,,,,,
BN,divert,9.30,562,218,461,6,,,,,,,,,
GL,dividend,NA,387,313,387,8,,,,,,,,,
GL,division,NA,518,404,518,8,,,,,,,,,
BN,dizzy,5.00,268,376,516,5,,,,,,,,,
GL,dock,NA,483,559,483,4,,,,,,,,,
BN,dodgy,7.60,466,300,576,5,,,,,,,,,
GL,dog,NA,598,636,598,3,,,,,,,,,
BN,dogma,12.30,700,100,401,5,,,,,,,,,
BN,dole,10.50,647,265,422,4,,,,,,,,,
GL,doll,NA,503,565,503,4,,,,,,,,,
GL,dolt,NA,233,259,233,4,,,,,,,,,
BN,dome,6.50,384,529,443,4,,,,,,,,,
GL,domination,NA,417,421,417,10,,,,,,,,,
BN,doom,7.40,430,260,440,4,,,,,,,,,
GL,door,NA,630,599,630,4,,,,,,,,,
GL,doorway,NA,532,548,532,7,,,,,,,,,
BN,dopey,6.40,361,358,463,5,,,,,,,,,
GL,dormitory,NA,369,575,369,9,,,,,,,,,
BN,dose,7.10,415,302,468,4,,,,,,,,,
GL,dot,NA,524,556,524,3,,,,,,,,,
GL,dough,NA,474,558,474,5,,,,,,,,,
GL,dowager,NA,268,316,268,7,,,,,,,,,
GL,dowry,NA,289,422,289,5,,,,,,,,,
GL,dozen,NA,568,525,568,5,,,,,,,,,
BN,drab,8.90,520,320,429,4,,,,,,,,,
BN,draft,7.80,469,302,472,5,,,,,,,,,
BN,drag,5.30,289,366,520,4,,,,,,,,,
GL,drain,NA,510,540,510,5,,,,,,,,,
GL,drape,NA,396,464,396,5,,,,,,,,,
BN,draught,7.70,473,330,460,7,,,,,,,,,
BN,draw,4.40,227,414,584,4,,,,,,,,,
BN,drawn,5.10,291,275,498,5,,,,,,,,,
GL,dread,NA,460,378,460,5,,,,,,,,,
BN,dream,5.00,282,463,592,5,,,,,,,,,
GL,dreamer,NA,517,507,517,7,,,,,,,,,
BN,dress,4.10,227,661,592,5,,,,,,,,,
GL,dress,NA,588,595,588,5,,,,,,,,,
BN,dresser,6.90,407,506,451,7,,,,,,,,,
BN,drew,5.10,276,269,505,4,,,,,,,,,
BN,drift,7.20,420,331,492,5,,,,,,,,,
GL,drink,NA,628,553,628,5,,,,,,,,,
BN,drive,4.70,248,517,650,5,,,,,,,,,
GL,driver,NA,593,567,593,6,,,,,,,,,
BN,drop,4.40,225,410,576,4,,,,,,,,,
BN,drought,7.70,463,354,429,7,,,,,,,,,
GL,drove,NA,432,353,432,5,,,,,,,,,
BN,drown,5.70,313,465,466,5,,,,,,,,,
BN,drug,7.90,424,580,546,4,,,,,,,,,
GL,drug,NA,539,564,539,4,,,,,,,,,
BN,drunk,7.50,466,450,614,5,,,,,,,,,
GL,dryad,NA,180,251,180,5,,,,,,,,,
BN,dubious,9.40,583,160,468,7,,,,,,,,,
GL,duck,NA,529,632,529,4,,,,,,,,,
GL,duel,NA,439,494,439,4,,,,,,,,,
BN,duet,7.70,449,402,449,4,,,,,,,,,
BN,duke,6.70,401,402,428,4,,,,,,,,,
GL,dullness,NA,436,383,436,8,,,,,,,,,
BN,dumb,5.50,306,274,541,4,,,,,,,,,
GL,dump,NA,504,528,504,4,,,,,,,,,
BN,dung,6.90,407,534,412,4,,,,,,,,,
GL,dunghill,NA,313,475,313,8,,,,,,,,,
GL,dusk,NA,474,575,474,4,,,,,,,,,
BN,dust,5.80,330,497,510,4,,,,,,,,,
BN,duster,5.90,333,576,486,6,,,,,,,,,
BN,dustpan,5.80,327,585,501,7,,,,,,,,,
BN,dusty,6.00,339,498,495,5,,,,,,,,,
BN,duty,7.70,446,274,501,4,,,,,,,,,
BN,duvet,5.60,314,617,611,5,,,,,,,,,
BN,dwarf,5.10,276,608,437,5,,,,,,,,,
GL,dwelling,NA,374,534,374,8,,,,,,,,,
GL,dye,NA,490,506,490,3,,,,,,,,,
BN,eager,7.60,456,245,517,5,,,,,,,,,
BN,eagle,5.70,313,625,462,5,,,,,,,,,
GL,earl,NA,358,435,358,4,,,,,,,,,
BN,earn,7.00,401,311,547,4,,,,,,,,,
GL,earth,NA,580,580,580,5,,,,,,,,,
BN,ease,7.30,387,302,524,4,,,,,,,,,
GL,ease,NA,519,327,519,4,,,,,,,,,
GL,eaves,NA,367,491,367,5,,,,,,,,,
GL,echo,NA,478,556,478,4,,,,,,,,,
GL,edge,NA,569,495,569,4,,,,,,,,,
GL,edict,NA,279,297,279,5,,,,,,,,,
BN,edit,8.20,492,234,540,4,,,,,,,,,
GL,education,NA,585,416,585,9,,,,,,,,,
GL,educator,NA,380,370,380,8,,,,,,,,,
GL,effect,NA,602,280,602,6,,,,,,,,,
GL,effort,NA,585,367,585,6,,,,,,,,,
GL,egg,NA,608,599,608,3,,,,,,,,,
GL,eight,NA,613,501,613,5,,,,,,,,,
BN,eighth,6.20,359,226,466,6,,,,,,,,,
BN,eighty,5.40,299,423,520,6,,,,,,,,,
GL,elaboration,NA,403,325,403,11,,,,,,,,,
GL,elbow,NA,564,602,564,5,,,,,,,,,
BN,eldest,5.60,330,367,562,6,,,,,,,,,
GL,election,NA,535,435,535,8,,,,,,,,,
GL,electricity,NA,601,486,601,11,,,,,,,,,
GL,elephant,NA,459,616,459,8,,,,,,,,,
GL,elf,NA,355,543,355,3,,,,,,,,,
GL,elimination,NA,441,375,441,11,,,,,,,,,
BN,elite,10.30,632,283,469,5,,,,,,,,,
GL,elm,NA,456,550,456,3,,,,,,,,,
GL,elopement,NA,356,453,356,9,,,,,,,,,
BN,elude,10.50,645,129,423,5,,,,,,,,,
GL,emanation,NA,261,270,261,9,,,,,,,,,
GL,emancipation,NA,388,364,388,12,,,,,,,,,
GL,embellishment,NA,317,275,317,13,,,,,,,,,
GL,embrace,NA,433,597,433,7,,,,,,,,,
GL,emergency,NA,558,487,558,9,,,,,,,,,
GL,emotion,NA,549,478,549,7,,,,,,,,,
GL,emperor,NA,379,502,379,7,,,,,,,,,
BN,employ,8.80,546,240,526,6,,,,,,,,,
GL,employment,NA,531,435,531,10,,,,,,,,,
BN,empty,4.90,261,414,555,5,,,,,,,,,
GL,emulsion,NA,428,451,428,8,,,,,,,,,
BN,enact,9.10,558,291,415,5,,,,,,,,,
GL,enchanter,NA,320,378,320,9,,,,,,,,,
GL,encounter,NA,463,370,463,9,,,,,,,,,
GL,endeavour,NA,399,310,399,9,,,,,,,,,
BN,endless,6.60,380,282,517,7,,,,,,,,,
GL,endosperm,NA,309,324,309,9,,,,,,,,,
BN,endure,9.00,553,178,476,6,,,,,,,,,
GL,enemy,NA,523,497,523,5,,,,,,,,,
GL,engineer,NA,514,495,514,8,,,,,,,,,
GL,enigma,NA,290,259,290,6,,,,,,,,,
BN,enjoy,4.60,252,364,626,5,,,,,,,,,
GL,enlightenment,NA,395,335,395,13,,,,,,,,,
BN,enrage,9.00,553,377,439,6,,,,,,,,,
